$tag,learning_rate,w_decay,dropout_pct,pct_warmup,w_surrogate_tasks,max_grad_norm,experiment,PC_Boarding,PC_Alighting,ST_Delay,ST_Dwell
SA72,0.000219456,0.00468595,0.049,0.143,0.5,2.0,smtM24-11062124,0.533374,0.703618,0.141662,0.343749
SA73,0.000185341,0.000818741,0.136,0.046,0.5,1.0,smtM24-11062131,0.545934,0.713849,0.145748,0.339901
SA74,0.000440826,0.0177649,0.081,0.043,0.5,1.0,smtM24-11062141,0.554935,0.713828,0.194043,0.344994
SA75,0.000474004,0.00502277,0.18,0.025,0.75,1.0,smtM24-11062150,0.553353,0.714494,0.194077,0.346949
SA76,0.000218191,0.00237451,0.133,0.046,0.25,5.0,smtM24-11062200,0.537454,0.707618,0.166952,0.335322
SA77,0.000224541,0.014321,0.07,0.097,0.5,2.0,smtM24-11062209,0.540119,0.713529,0.152124,0.332394
SA78,0.000332708,0.00972462,0.237,0.066,0.25,1.0,smtM24-11062219,0.54542,0.711894,0.168776,0.342518
SA79,0.00027331,0.00063812,0.082,0.092,0.25,5.0,smtM24-11062229,0.528052,0.690101,0.154289,0.317108
SA80,0.000178268,0.00084388,0.106,0.118,0.5,2.0,smtM24-11062234,0.540305,0.716133,0.166761,0.342522
SA81,0.000279315,0.00357398,0.184,0.115,0.25,2.0,smtM24-11062244,0.546092,0.708674,0.142536,0.335114
SA82,0.0002015,0.00140527,0.145,0.126,0.5,0.5,smtM24-11062254,0.53751,0.711909,0.14785,0.330956
SA83,0.000182667,0.00164261,0.102,0.137,0.25,0.5,smtM24-11062304,0.542262,0.695133,0.161639,0.324762
SA84,0.000456159,0.00331144,0.009,0.117,1.0,1.0,smtM24-11062310,0.5399,0.690982,0.137243,0.337131
SA85,0.000226054,0.00768971,0.09,0.095,0.5,1.0,smtM24-11062316,0.548409,0.718114,0.148579,0.337643
SA86,0.000236936,0.00404146,0.099,0.038,0.75,2.0,smtM24-11062326,0.537941,0.698326,0.143316,0.300508
SA87,0.000400261,0.00864748,0.073,0.081,0.5,0.5,smtM24-11062333,0.5461,0.698474,0.120693,0.351109
SA88,0.000259181,0.00538865,0.02,0.09,1.25,5.0,smtM24-11062340,0.541487,0.707004,0.114787,0.319495
SA89,0.00052867,0.0156626,0.087,0.13,0.5,2.0,smtM24-11062347,0.545316,0.706727,0.187288,0.339706
SA90,0.000276958,0.000666885,0.058,0.077,1.25,0.5,smtM24-11062355,0.549214,0.701876,0.161286,0.350511
SA91,0.000239014,0.00204329,0.208,0.022,1.25,0.5,smtM24-12060002,0.534434,0.69725,0.167783,0.331985
SA92,0.000175213,0.00663559,0.224,0.119,1.25,0.5,smtM24-12060008,0.535441,0.708669,0.173321,0.34868
SA93,0.00051186,0.000768033,0.074,0.141,0.25,2.0,smtM24-12060018,0.543439,0.688995,0.133495,0.311121
SA94,0.000167083,0.00310617,0.104,0.127,0.25,5.0,smtM24-12060024,0.540068,0.713663,0.133232,0.338083
SA95,0.00053767,0.00630663,0.23,0.027,0.5,0.5,smtM24-12060034,0.551714,0.70995,0.191166,0.351244
SA96,0.000233284,0.00148519,0.233,0.08,1.0,2.0,smtM24-12060043,0.539559,0.700514,0.135146,0.351874
SA97,0.000208184,0.00993602,0.01,0.094,1.25,0.5,smtM24-12060051,0.538223,0.708879,0.12935,0.343016
SA98,0.000312846,0.000987392,0.185,0.104,0.5,2.0,smtM24-12060058,0.539892,0.710558,0.193335,0.346569
SA99,0.000554747,0.00383653,0.091,0.108,0.25,2.0,smtM24-12060107,0.544727,0.682382,0.126229,0.304923
